,dname,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합
0,가락동,20282,28436,11987,17002,32269,45438
1,가락본동,8813,7509,3674,4476,12487,11985
2,가리봉동,2714,4068,1444,2458,4158,6526
3,가산동,30066,22658,14479,13445,44545,36103
4,가양동,25272,15744,11193,7633,36465,23377
5,가회동,253,699,64,270,317,969
6,갈월동,276,497,187,179,463,676
7,갈현동,11779,16610,6231,11113,18010,27723
8,강일동,5488,17938,2557,11267,8045,29205
9,개봉동,33885,41364,18165,25117,52050,66481
10,개포동,18223,34301,7018,15665,25241,49966
11,개화동,155,149,27,49,182,198
12,거여동,8314,14489,4731,8401,13045,22890
13,경운동,31,51,11,10,42,61
14,계동,31,424,3,201,34,625
15,고덕동,5877,8347,2396,4716,8273,13063
16,고척동,14322,27451,6622,18210,20944,45661
17,공덕동,8285,13145,5175,7520,13460,20665
18,공릉동,22020,28568,13079,15858,35099,44426
19,공항동,9743,9542,2937,4856,12680,14398
20,과해동,203,72,36,17,239,89
21,관수동,55,54,40,28,95,82
22,관훈동,3778,1495,1714,680,5492,2175
23,광장동,5457,7196,2456,3816,7913,11012
24,광희동,3041,2289,2237,1374,5278,3663
25,교남동,3255,4848,1877,2749,5132,7597
26,교북동,806,341,347,118,1153,459
27,구기동,0,22,0,0,0,22
28,구로동,119057,79851,73589,42481,192646,122332
29,구산동,6206,14965,2081,9815,8287,24780
30,구의동,28935,24888,13667,13414,42602,38302
31,군자동,7986,14037,4825,9002,12811,23039
32,궁동,3283,5353,1525,3234,4808,8587
33,금호가동,7732,14129,4274,7562,12006,21691
34,금호동가,7585,10946,2644,5156,10229,16102
35,길동,4073,7405,2059,4129,6132,11534
36,길음동,21840,30453,11301,19090,33141,49543
37,낙성대동,6274,7928,3745,5037,10019,12965
38,난곡동,1952,9660,850,6771,2802,16431
39,난향동,791,2137,315,1417,1106,3554
40,남가좌동,13246,31745,6950,21444,20196,53189
41,남대문로가,16463,6797,9932,4492,26395,11289
42,남영동,28965,21223,16978,10460,45943,31683
43,남창동,2838,1463,1805,982,4643,2445
44,남현동,2854,10145,1698,6662,4552,16807
45,내곡동,2847,6679,1151,4107,3998,10786
46,내발산동,5843,6376,2119,3243,7962,9619
47,냉천동,189,60,107,56,296,116
48,노량진동,69363,39668,35380,23246,104743,62914
49,녹번동,8186,9841,3900,5331,12086,15172
50,논현동,31072,31909,16557,16732,47629,48641
51,능동,8427,10218,5637,6270,14064,16488
52,다동,2132,858,1291,525,3423,1383
53,다산동,1498,2908,897,1656,2395,4564
54,답십리동,10769,19554,5739,11861,16508,31415
55,당산동,7324,10548,3688,5726,11012,16274
56,당산동가,33257,18144,20593,9119,53850,27263
57,대림동,14782,25580,6163,12839,20945,38419
58,대방동,18775,27966,9361,16303,28136,44269
59,대신동,1588,4378,736,2304,2324,6682
60,대조동,22279,13655,13037,8226,35316,21881
61,대치동,98274,40167,25954,19219,124228,59386
62,대학동,283,3311,112,2618,395,5929
63,대현동,12654,13212,6925,7772,19579,20984
64,대흥동,29922,19275,13721,11317,43643,30592
65,도곡동,23880,24486,11112,10804,34992,35290
66,도림동,2567,9557,1156,5675,3723,15232
67,도봉동,13347,16315,7501,9786,20848,26101
68,도원동,337,1962,124,1308,461,3270
69,도화동,16038,14624,9409,8474,25447,23098
70,독산동,44739,67526,23804,41092,68543,108618
71,돈암동,22846,26969,13571,17408,36417,44377
72,동교동,48503,15004,32155,8167,80658,23171
73,동빙고동,32,19,0,0,32,19
74,동선동,21837,14726,14138,10022,35975,24748
75,동선동가,12225,3039,7971,1813,20196,4852
76,동소문동가,19896,14982,12892,10010,32788,24992
77,동작동,2179,1509,1221,741,3400,2250
78,동화동,96,731,70,386,166,1117
79,둔촌동,11890,8174,6122,4247,18012,12421
80,등촌동,28492,38501,13003,20650,41495,59151
81,마곡동,5695,3587,2414,1888,8109,5475
82,마장동,5318,7194,2341,3646,7659,10840
83,마천동,5248,15948,2924,10485,8172,26433
84,만리동가,600,1244,243,723,843,1967
85,망우동,5894,14481,2634,9049,8528,23530
86,망우본동,6397,6576,3187,3835,9584,10411
87,망원동,10427,15284,5516,10116,15943,25400
88,면목동,33630,45264,17683,27777,51313,73041
89,면목본동,3778,6402,1886,3617,5664,10019
90,명동,8083,4842,4931,2661,13014,7503
91,명륜가,9025,3547,3753,2266,12778,5813
92,명일동,16486,12014,6050,6508,22536,18522
93,목동,110042,85726,47538,47150,157580,132876
94,묘동,272,176,73,101,345,277
95,무악동,3831,5044,2108,2801,5939,7845
96,묵동,10562,13440,6336,7465,16898,20905
97,문래동,3986,4775,1887,2979,5873,7754
98,문래동가,6470,3514,3129,1398,9599,4912
99,문배동,223,406,43,133,266,539
100,문정동,16483,17341,7955,11139,24438,28480
101,미성동,5109,11707,2812,7444,7921,19151
102,미아동,44762,36655,26180,23213,70942,59868
103,반포동,77001,50745,42047,25770,119048,76515
104,반포본동,2637,3046,1629,1878,4266,4924
105,발산동,5824,7337,2081,4403,7905,11740
106,방배동,53001,52710,29087,25076,82088,77786
107,방배본동,424,794,48,194,472,988
108,방산동,226,199,182,137,408,336
109,방이동,21524,17808,11162,11198,32686,29006
110,방학동,16718,40024,7388,25828,24106,65852
111,방화동,8440,10366,2179,6011,10619,16377
112,번동,32012,31068,18663,19457,50675,50525
113,보광동,3387,7254,1431,3571,4818,10825
114,보라매동,4249,5447,2131,3082,6380,8529
115,보문동,3773,3983,2624,2179,6397,6162
116,보문동가,2088,4090,1206,2113,3294,6203
117,본동,82,76,32,44,114,120
118,봉래동가,25079,18497,15586,9244,40665,27741
119,봉천동,74203,73906,44526,45329,118729,119235
120,부암동,4866,9873,2253,6102,7119,15975
121,북가좌동,8557,21673,4706,12943,13263,34616
122,북아현동,9590,12858,2497,5545,12087,18403
