,정류소이름
1,복정역환승센터3번승강장(24503)
2,위례31단지.위례포레샤인후문(24440)
3,송파꿈에그린서문.위례포레샤인(24654)
4,위례송파더센트레.송파푸르지오(24441)
5,호반써밋송파2차(24425)
6,세계로병원(24421)
7,거여아파트단지앞(24275)
8,거여역(24270)
9,보인고교.오금동삼성아파트(24252)
10,오금동상아아파트(24251)
11,오금공원앞(24250)
12,오금동현대아파트(24249)
13,한양삼익아파트(24224)
14,서울방이동고분군(24391)
15,방이우체국(24220)
16,송파나루역(24214)
17,송파구청.방이맛골(24215)
18,잠실역8번출구(24132)
19,잠실역(24133)
20,자양동잠실대교북단(05194)
21,동서울우편집중국앞(05192)
22,자양사거리(05176)
23,자양초등학교앞(05178)
24,건국대학교앞(05180)
25,건대입구역1번출구(05230)
26,성수사거리(04257)
27,성수역1번출구(04240)
28,뚝섬역4번출구(04239)
29,뚝섬역2번출구(04237)
30,성동교남단(04185)
31,한양대정문앞(04130)
32,서울숲삼부아파트(04137)
33,왕십리역(04134)
34,코스모타워.서울신용보증재단성동지점(04110)
35,상왕십리역(04113)
36,청계벽산아파트.텐즈힐아파트(04106)
37,동아제약앞(06185)
38,신설동역.서울풍물시장(06008) - 회차
39,신설동역(06102)
40,용두로타리한국의류시험연구원(06104)
41,서울시동부병원(06182)
42,동아제약앞(06184)
43,e편한세상청계센트럴포레아파트(06310)
44,청계벽산아파트.텐즈힐아파트(04107)
45,상왕십리역.센트라스아파트(04114)
46,왕십리2동주민센터(04109)
47,왕십리역(04133)
48,행당1동주민센터.성동소방서(04136)
49,한양대정문(04129)
50,성동교남단(04186)
51,뚝섬역8번출구(04236)
52,뚝섬역5번출구(04238)
53,성수역4번출구(04253)
54,성수사거리(04256)
55,건대입구역6번출구(05217)
56,건국대학교앞(05205)
57,자양초등학교앞(05179)
58,자양사거리(05177)
59,자양동잠실대교북단(05188)
60,잠실역1번.11번출구(24134)
61,송파구청.방이맛골(24136)
62,방이동사거리(24197)
63,송파나루역(24199)
64,서울방이동고분군(24202)
65,삼익아파트미성아파트(24206)
66,송파경찰서.오금역(24369)
67,가락래미안앞(24459)
68,개롱역3번출구(24348)
69,삼환아파트(24349)
70,거여역현대아파트(24271)
71,거여역7번출구(24403)
72,체육문화회관(24272)
73,세계로병원(24422)
74,호반써밋송파1차(24424)
75,위례송파푸르지오.송파더센트레(24443)
76,위례포레샤인.송파꿈에그린서문(24653)
77,위례포레샤인.위례31단지후문(24439)
78,복정역환승주차장(24658)
