,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
0,263,서울특별시 강남구 개포1동,758,2648,328,1164,1086,3812,37.4817688,127.0576308
1,264,서울특별시 강남구 개포2동,1461,6345,685,2756,2146,9101,37.4896011,127.0687685
2,265,서울특별시 강남구 개포4동,4007,8191,1511,4108,5518,12299,37.4788251,127.0515205
3,266,서울특별시 강남구 개포동,11997,17117,4494,7637,16491,24754,37.4789643,127.0609282
4,267,서울특별시 강남구 논현2동,351,459,157,264,508,723,37.5172921,127.0371878
5,268,서울특별시 강남구 논현동,30721,31450,16400,16468,47121,47918,37.5135304,127.0315341
6,269,서울특별시 강남구 대치1동,12897,3907,2785,2019,15682,5926,37.4932114,127.0567416
7,270,서울특별시 강남구 대치2동,10825,5520,2890,2617,13715,8137,37.5021274,127.0641296
8,271,서울특별시 강남구 대치동,74552,30740,20279,14583,94831,45323,37.4994914,127.0610527
9,272,서울특별시 강남구 도곡1동,4397,6582,1897,3089,6294,9671,37.4908234,127.0382995
10,273,서울특별시 강남구 도곡2동,6191,6739,3444,3911,9635,10650,37.4824625,127.0430492
11,274,서울특별시 강남구 도곡동,13292,11165,5771,3804,19063,14969,37.4898434,127.0438136
12,275,서울특별시 강남구 삼성1동,487,439,101,267,588,706,37.5117931,127.0553802
13,276,서울특별시 강남구 삼성동,44096,31496,20416,14081,64512,45577,37.5139848,127.0565207
14,277,서울특별시 강남구 세곡동,7617,25789,3148,14462,10765,40251,37.46927120000001,127.1073203
15,278,서울특별시 강남구 수서동,25214,8108,14168,3343,39382,11451,37.4889628,127.105154
16,279,서울특별시 강남구 신사동,33466,19686,17444,11197,50910,30883,37.524124,127.022883
17,280,서울특별시 강남구 압구정동,17142,9837,9414,5445,26556,15282,37.531684,127.0302926
18,281,서울특별시 강남구 역삼1동,251,611,170,333,421,944,37.4952107,127.0331888
19,282,서울특별시 강남구 역삼2동,8459,5796,2480,2279,10939,8075,37.4959889,127.0467425
20,283,서울특별시 강남구 역삼동,107366,64621,60182,33869,167548,98490,37.4999072,127.0373932
21,284,서울특별시 강남구 율현동,267,1245,97,625,364,1870,37.4720063,127.1104558
22,285,서울특별시 강남구 일원1동,1822,4429,1348,2031,3170,6460,37.49179609999999,127.0879606
23,286,서울특별시 강남구 일원2동,1020,642,575,360,1595,1002,37.4921008,127.073629
24,287,서울특별시 강남구 일원동,5393,14498,2781,5890,8174,20388,37.4810133,127.0801089
25,288,서울특별시 강남구 일원본동,2157,4947,1528,1975,3685,6922,37.4833521,127.086378
26,289,서울특별시 강남구 자곡동,611,315,245,178,856,493,37.474172,127.0950243
27,290,서울특별시 강남구 청담동,20552,17300,9650,9265,30202,26565,37.5231998,127.0486655
28,291,서울특별시 강동구 강일동,5488,17938,2557,11267,8045,29205,37.5626796,127.1742333
29,292,서울특별시 강동구 고덕1동,1441,2406,586,1490,2027,3896,37.558983,127.1489257
30,293,서울특별시 강동구 고덕2동,2535,2698,1053,1456,3588,4154,37.5604551,127.1643122
31,294,서울특별시 강동구 고덕동,1901,3243,757,1770,2658,5013,37.5632814,127.1570594
32,295,서울특별시 강동구 길동,4073,7405,2059,4129,6132,11534,37.5392074,127.1461206
33,296,서울특별시 강동구 둔촌1동,2309,2326,1181,1274,3490,3600,37.5234321,127.1366779
34,297,서울특별시 강동구 둔촌2동,8764,4133,4656,2046,13420,6179,37.53332,127.1419272
35,298,서울특별시 강동구 둔촌동,817,1715,285,927,1102,2642,37.5272032,127.144105
36,299,서울특별시 강동구 명일1동,1175,1980,372,1171,1547,3151,37.54973409999999,127.1459813
37,300,서울특별시 강동구 명일2동,5881,1058,1119,484,7000,1542,37.5463186,127.1512869
38,301,서울특별시 강동구 명일동,9430,8976,4559,4853,13989,13829,37.5502209,127.1500409
39,302,서울특별시 강동구 상일동,12701,15210,6035,9120,18736,24330,37.55110639999999,127.1646653
40,303,서울특별시 강동구 성내1동,171,229,75,148,246,377,37.530375,127.1223451
41,304,서울특별시 강동구 성내2동,8758,8270,5519,5009,14277,13279,37.5323199,127.1294284
42,305,서울특별시 강동구 성내3동,5023,5484,2231,2949,7254,8433,37.5259868,127.1329002
43,306,서울특별시 강동구 성내동,8385,11606,4144,6393,12529,17999,37.5302922,127.1287651
44,307,서울특별시 강동구 암사1동,1368,1787,621,1076,1989,2863,37.5514287,127.1325655
45,308,서울특별시 강동구 암사3동,3192,12237,1510,6845,4702,19082,37.5552053,127.1382039
46,309,서울특별시 강동구 암사동,1758,2568,924,1257,2682,3825,37.558248,127.1304539
47,310,서울특별시 강동구 천호1동,36,548,15,379,51,927,37.54506850000001,127.1367043
48,311,서울특별시 강동구 천호2동,14933,8403,10478,5513,25411,13916,37.543462,127.1231788
49,312,서울특별시 강동구 천호3동,137,344,67,222,204,566,37.539763,127.1297892
50,313,서울특별시 강동구 천호동,10811,10375,5376,6032,16187,16407,37.5439937,127.1256452
51,314,서울특별시 강북구 미아동,44762,36655,26180,23213,70942,59868,37.6268335,127.0269077
52,315,서울특별시 강북구 번1동,2466,3220,1102,1910,3568,5130,37.6378322,127.0287962
53,316,서울특별시 강북구 번2동,864,2623,449,1956,1313,4579,37.6321391,127.0386284
54,317,서울특별시 강북구 번3동,4826,9343,2150,5438,6976,14781,37.625834,127.0465718
55,318,서울특별시 강북구 번동,23856,15882,14962,10153,38818,26035,37.6279206,127.037216
56,319,서울특별시 강북구 삼각산동,860,2235,414,1448,1274,3683,37.6166126,127.0174369
57,320,서울특별시 강북구 삼양동,2665,8647,1206,5469,3871,14116,37.620695,127.0127143
58,321,서울특별시 강북구 송중동,29950,29740,18898,18602,48848,48342,37.615974,127.0336574
59,322,서울특별시 강북구 송천동,1224,2326,635,1297,1859,3623,37.61808449999999,127.0237133
60,323,서울특별시 강북구 수유1동,1511,4148,613,2696,2124,6844,37.6387326,127.0089103
61,324,서울특별시 강북구 수유2동,1846,4063,812,2750,2658,6813,37.6446372,127.0198799
62,325,서울특별시 강북구 수유3동,306,780,101,385,407,1165,37.63886,127.0231577
63,326,서울특별시 강북구 수유동,53932,56531,32515,35472,86447,92003,37.6387326,127.0089103
64,327,서울특별시 강북구 우이동,5816,7716,1947,4967,7763,12683,37.6479697,127.0118806
65,328,서울특별시 강북구 인수동,442,2361,146,1596,588,3957,37.6351934,127.0191862
66,329,서울특별시 강서구 가양1동,20606,7069,8841,3131,29447,10200,37.5691433,126.8403436
67,330,서울특별시 강서구 가양2동,1510,1844,785,909,2295,2753,37.5672827,126.8510926
68,331,서울특별시 강서구 가양3동,864,1819,505,996,1369,2815,37.5610056,126.8604808
69,332,서울특별시 강서구 가양동,2292,5012,1062,2597,3354,7609,37.5648322,126.8342406
70,333,서울특별시 강서구 개화동,155,149,27,49,182,198,37.5859845,126.8040311
71,334,서울특별시 강서구 공항동,9743,9542,2937,4856,12680,14398,37.558949,126.8103748
72,335,서울특별시 강서구 과해동,203,72,36,17,239,89,37.5665478,126.7865769
73,336,서울특별시 강서구 내발산동,5843,6376,2119,3243,7962,9619,37.5546422,126.834636
74,337,서울특별시 강서구 등촌1동,5256,8869,2595,4930,7851,13799,37.5558122,126.8589261
75,338,서울특별시 강서구 등촌2동,2635,9313,1025,5715,3660,15028,37.5425909,126.8624812
76,339,서울특별시 강서구 등촌3동,4300,5538,1313,2692,5613,8230,37.5588666,126.8477051
77,340,서울특별시 강서구 등촌동,16301,14781,8070,7313,24371,22094,37.558653,126.8532512
78,341,서울특별시 강서구 마곡동,5695,3587,2414,1888,8109,5475,37.5764888,126.8307466
79,342,서울특별시 강서구 발산1동,5824,7337,2081,4403,7905,11740,37.5530061,126.8333727
80,343,서울특별시 강서구 방화1동,2710,3993,829,2383,3539,6376,37.5714755,126.8122083
81,344,서울특별시 강서구 방화2동,808,816,317,497,1125,1313,37.566671,126.8066809
82,345,서울특별시 강서구 방화3동,579,1822,162,1162,741,2984,37.5785856,126.8136239
83,346,서울특별시 강서구 방화동,4343,3735,871,1969,5214,5704,37.5764563,126.813873
84,347,서울특별시 강서구 염창동,11330,23511,4992,12356,16322,35867,37.5540319,126.8717993
85,348,서울특별시 강서구 외발산동,336,1136,56,583,392,1719,37.5472236,126.8210719
86,349,서울특별시 강서구 우장산동,5753,3479,2404,1543,8157,5022,37.5480629,126.841817
87,350,서울특별시 강서구 화곡1동,2633,6302,1244,3859,3877,10161,37.530398,126.8415945
88,351,서울특별시 강서구 화곡2동,466,1623,186,1040,652,2663,37.5319531,126.8544552
89,352,서울특별시 강서구 화곡3동,828,1886,496,884,1324,2770,37.5425905,126.8382335
90,353,서울특별시 강서구 화곡4동,1222,4432,653,3076,1875,7508,37.5330091,126.8632873
91,354,서울특별시 강서구 화곡6동,9421,13074,4977,7616,14398,20690,37.5517566,126.8500661
92,355,서울특별시 강서구 화곡8동,9078,7389,5542,4262,14620,11651,37.53267590000001,126.8485388
93,356,서울특별시 강서구 화곡동,38450,44036,20668,24482,59118,68518,37.53811839999999,126.8471024
94,357,서울특별시 강서구 화곡본동,3330,6195,1895,3426,5225,9621,37.53811839999999,126.8471024
95,358,서울특별시 관악구 낙성대동,6274,7928,3745,5037,10019,12965,37.4762397,126.9583907
