,Unnamed: 0,Unnamed: 0.1,NODE_ID,ARS-ID,정류소명,좌표X,좌표Y,좌표
0,0,0,100000001,1001,종로2가사거리,126.9877861534,37.5697641508,"CNN Cafe, 삼일대로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03140, 대한민국"
1,1,1,100000002,1002,창경궁.서울대학교병원,126.9965201597,37.5791788583,"창경궁, 185, 창경궁로, 종로1·2·3·4가동, 종로구, 서울, 03075, 대한민국"
2,2,2,100000003,1003,명륜3가.성대입구,126.9982901625,37.5827088189,"Subway, 창경궁로, 혜화동, 종로구, 서울, 03075, 대한민국"
3,3,3,100000004,1004,종로2가.삼일교,126.9875072018,37.5685822333,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
4,4,4,100000005,1005,혜화동로터리.여운형활동터,127.0016943494,37.5862299819,"혜화동로터리.여운형활동터, 창경궁로, 혜화동, 종로구, 서울, 03075, 대한민국"
5,5,5,101000305,1006,서대문역사거리,126.966960795,37.5662075233,"서대문역 3번 출구, 새문안로, 교남동, 종로구, 서울, 03735, 대한민국"
6,6,6,100000380,1007,서울역사박물관.경희궁앞,126.9704199006,37.569098089,"서울역사박물관.경희궁앞, 새문안로, 사직동, 종로구, 서울, 03177, 대한민국"
7,7,7,100000379,1008,서울역사박물관.경희궁앞,126.970441967,37.5693360157,"서울역사박물관.경희궁앞, 새문안로, 사직동, 종로구, 서울, 03177, 대한민국"
8,8,8,100000384,1009,광화문,126.9752405641,37.5700507533,"에스호텔, 새문안로, 사직동, 종로구, 서울, 03186, 대한민국"
9,9,9,100000385,1010,광화문,126.9780908549,37.5702957096,"교보생명빌딩, 1, 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03154, 대한민국"
10,10,10,100000386,1011,종로1가,126.981,37.570072,"종로1가, 종로 자전거 전용로, 종로1·2·3·4가동, 종로구, 서울, 03188, 대한민국"
11,11,11,100000387,1012,종로1가,126.9813905902,37.5702666069,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
12,12,12,100000388,1013,종로2가,126.985541114,37.570087252,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
13,13,13,100000389,1014,종로2가,126.9862540445,37.5702679499,"서울 한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
14,14,14,100000390,1015,종로3가.탑골공원,126.9895689652,37.5701875394,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
15,15,15,100000391,1016,종로3가.탑골공원,126.9899682503,37.5703886931,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02837, 대한민국"
16,16,16,100000392,1017,종로4가.종묘,126.9947286676,37.5704168801,"GS25, 종로 자전거 전용로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03139, 대한민국"
17,17,17,100000393,1018,종로4가.종묘,126.9952769536,37.5706002885,"종로4가종묘, 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03139, 대한민국"
18,18,18,100000394,1019,종로5가.광장시장,126.9988533013,37.5707157083,"종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03129, 대한민국"
19,19,19,100000395,1020,종로5가.광장시장,126.9993198827,37.5709076392,"종로5가.광장시장(중), 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03129, 대한민국"
20,20,20,100000396,1021,종로6가.동대문종합시장,127.0034688409,37.5709177804,"종로6가, 종로 자전거 전용로, 종로5·6가동, 종로구, 서울, 03126, 대한민국"
21,21,21,100000397,1022,종로6가.동대문종합시장,127.0057093611,37.571151812,"종로, 종로5·6가동, 종로구, 서울, 03126, 대한민국"
22,22,22,100000398,1023,동대문역.흥인지문,127.0134620695,37.5722800814,"동대문, 종로, 창신1동, 종로구, 서울, 03121, 대한민국"
