,동,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
0,[' 종로1·2·3·4가동'],540,413,513,279
1,[' 종로1·2·3·4가동'],1905,1277,1004,607
2,[' 이화동'],1905,1277,1004,607
3,[' 혜화동'],7914,1326,3300,676
4,[' 성북동'],1666,687,725,312
5,[' 혜화동'],2128,1484,591,753
6,[' 교남동'],3191,3771,1880,2397
7,[' 충현동'],3191,3771,1880,2397
8,[' 사직동'],5025,1740,1683,1025
9,[' 사직동'],5025,1740,1683,1025
10,[' 사직동'],14117,3393,7616,2320
11,[' 종로1·2·3·4가동'],14117,3393,7616,2320
12,[' 사직동'],14117,3393,7616,2320
13,[' 사직동'],14117,3393,7616,2320
14,[' 명동'],14117,3393,7616,2320
15,[' 종로1·2·3·4가동'],15262,4070,8089,2416
16,[' 성북동'],15262,4070,8089,2416
17,[' 종로1·2·3·4가동'],15262,4070,8089,2416
18,[' 성북동'],20737,4599,13754,2622
19,[' 성북동'],20737,4599,13754,2622
20,[' 성북동'],18068,4246,11754,2766
21,[' 성북동'],18068,4246,11754,2766
22,[' 종로1·2·3·4가동'],3724,1572,2324,818
23,[' 종로1·2·3·4가동'],3724,1572,2324,818
24,[' 종로1·2·3·4가동'],6778,2420,3703,1839
25,[' 종로1·2·3·4가동'],6778,2420,3703,1839
26,[' 종로5·6가동'],5288,1861,2793,1233
27,[' 종로5·6가동'],5288,1861,2793,1233
28,[' 창신1동'],9700,7031,6863,4890
29,[' 창신2동'],2474,3020,1814,3551
30,[' 숭인2동'],5661,4859,3433,4008
31,"['숭인동', ' 숭인2동']",5661,4859,3433,4008
32,[' 숭인1동'],5661,4859,3433,4008
33,[' 청운효자동'],275,529,90,363
34,[' 청운효자동'],275,529,90,363
35,"['효자동', ' 청운효자동']",506,301,108,107
36,[' 청운효자동'],395,496,69,305
37,[' 청운효자동'],395,496,69,305
38,[' 청운효자동'],31,187,8,96
39,[' 청운효자동'],31,187,8,96
40,[' 청운효자동'],341,620,52,383
41,[' 청운효자동'],341,620,52,383
42,[' 청운효자동'],1332,1631,512,887
43,[' 청운효자동'],1332,1631,512,887
44,"['효자동', ' 청운효자동']",406,1126,208,699
45,[' 사직동'],1249,521,605,277
46,[' 사직동'],5794,1384,3019,742
47,[' 사직동'],5794,1384,3019,742
48,"['적선동', ' 사직동']",8835,2976,5071,1325
49,[' 사직동'],8835,2976,5071,1325
50,[' 사직동'],8835,2976,5071,1325
51,[' 종로1·2·3·4가동'],887,491,301,260
52,[' 청운효자동'],887,491,301,260
53,[' 종로1·2·3·4가동'],6532,966,3282,399
54,[' 사직동'],1514,564,727,420
55,[' 사직동'],279,174,173,139
56,[' 사직동'],5058,1849,1653,734
57,[' 사직동'],5058,1849,1653,734
58,[' 사직동'],5058,1849,1653,734
59,[' 사직동'],5058,1849,1653,734
60,[' 사직동'],2498,1647,1589,881
61,[' 사직동'],521,1315,201,865
62,[' 종로1·2·3·4가동'],598,156,389,188
63,[' 성북동'],1649,777,797,447
64,[' 부암동'],453,1409,269,868
65,[' 부암동'],453,1409,269,868
66,[' 부암동'],1577,2876,910,1672
67,[' 부암동'],1577,2876,910,1672
68,[' 부암동'],519,708,193,447
69,[' 부암동'],519,708,193,447
70,[' 부암동'],338,215,139,134
71,[' 부암동'],338,215,139,134
72,[' 부암동'],655,1325,255,801
73,[' 부암동'],655,1325,255,801
74,[' 부암동'],655,1325,255,801
75,[' 부암동'],497,1432,226,931
76,[' 부암동'],497,1432,226,931
77,[' 부암동'],506,830,126,547
78,[' 부암동'],506,830,126,547
79,[' 부암동'],506,830,126,547
80,[' 부암동'],238,1030,135,702
81,[' 부암동'],238,1030,135,702
82,[' 평창동'],14,124,6,66
83,[' 평창동'],14,124,6,66
84,[' 평창동'],71,428,22,249
85,[' 평창동'],71,428,22,249
86,[' 평창동'],362,667,179,376
87,[' 평창동'],362,667,179,376
88,"['구기동', ' 평창동']",1189,1630,574,1044
89,"['구기동', ' 평창동']",1189,1630,574,1044
90,[' 평창동'],143,129,54,84
91,[' 평창동'],1293,319,256,107
92,[' 평창동'],1293,319,256,107
93,[' 평창동'],892,286,207,129
94,[' 평창동'],254,236,102,103
95,[' 평창동'],619,1243,182,990
96,[' 평창동'],619,1243,182,990
97,[' 구로5동'],619,1243,182,990
98,[' 구로5동'],619,1243,182,990
99,[' 평창동'],90,887,76,566
100,[' 평창동'],423,725,81,490
101,[' 평창동'],229,1212,138,728
102,[' 평창동'],266,1600,117,903
103,[' 평창동'],266,1600,117,903
104,[' 평창동'],266,1600,117,903
105,[' 소공동'],72,76,19,56
106,"[' 교남동', ' 평동']",72,76,19,56
107,[' 무악동'],493,1322,263,779
108,[' 천연동'],493,1322,263,779
109,[' 교남동'],837,1250,489,743
110,"[' 교남동', ' 평동']",1991,1447,1252,1018
111,[' 교남동'],419,291,142,171
112,[' 천연동'],419,291,142,171
113,[' 성북동'],157,84,96,27
114,"['무교동', ' 종로1·2·3·4가동']",586,64,205,46
115,[' 성북동'],427,62,251,31
116,[' 성북동'],427,62,251,31
117,[' 종로1·2·3·4가동'],55,54,40,28
118,[' 종로1·2·3·4가동'],13,7,12,5
119,[' 종로1·2·3·4가동'],52,21,21,5
120,"['원남동', ' 종로1·2·3·4가동']",1489,755,430,372
121,[' 성북동'],2984,573,1489,380
122,[' 성북동'],377,233,159,102
123,[' 성북동'],377,233,159,102
124,[' 성북동'],377,233,159,102
125,[' 성북동'],377,233,159,102
