,정류소이름
1,은평공영차고지(35331)
2,덕은교.은평차고지앞(12315)
3,DMC첨단산업센터(14112)
4,상암고등학교(14291)
5,월드컵파크5단지(14289)
6,상암DMC홍보관.YTN(14287)
7,상암초등학교(14166)
8,상암휴먼시아아파트(14165)
9,마포농수산물시장.월드컵공원(14103)
10,마포구청(14102)
11,마포구청역입구(14253)
12,망원시장.망원동월드컵시장입구(14250)
13,기업은행서교동지점(최규하대통령가옥)(14249)
14,성산초등학교입구(14246)
15,마포한강푸르지오(14245)
16,합정역(14220)
17,서교동(14013)
18,홍대입구역(14015)
19,동교동삼거리(14061)
20,신촌역(14228)
21,신촌로터리(14168)
22,서강대학교(14171)
23,광성중고등학교(14172)
24,대흥역(14174)
25,용강초등학교(14176)
26,동도중학교.서울디자인고등학교(14178)
27,공덕역1번출구(14180)
28,공덕오거리(14150)
29,용마루고개.브라운스톤공덕아파트(14336)
30,용마루고개.효창파크푸르지오아파트(03178)
31,효창공원앞역.이봉창역사울림관(03180)
32,용산꿈나무종합타운.보건분소(03182)
33,원효로제1동주민센터(03183)
34,전쟁기념관(03185)
35,녹사평역(03187)
36,용산구청.이태원시장(03189)
37,이태원역4번출구.해밀턴호텔(03191)
38,이태원119안전센터(03193)
39,한남동주민센터(03195)
40,한강진역.블루스퀘어(03197)
41,버티고개(02237)
42,송도병원앞(02197)
43,약수역7번출구.약수동주민센터(02196)
44,약수역3번출구.약수하이츠(02192)
45,신당동.청구역(02189)
46,신당동떡볶이타운.중구여성플라자(02188)
47,성동공업고등학교앞(02180)
48,동묘앞(01041)
49,신설동역1번출구(06107)
50,대광고등학교앞(06178)
51,종암초등학교앞(06179)
52,용두시장앞(06181)
53,용두동한국의류시험연구원(06103)
54,신설동역(06028) - 회차
55,동묘앞(01044)
56,성동공업고등학교(무궁화회관)(02179)
57,신당동떡볶이타운.중구여성플라자(02187)
58,신당동.청구역(02190)
59,약수역2번출구.가온도서관(02191)
60,약수역8번출구.신당사회복지관(02195)
61,송도병원앞(02198)
62,버티고개(02236)
63,장충단로입구(03158)
64,한강진역.블루스퀘어(03196)
65,한남동새마을금고(03194)
66,이태원119안전센터(03192)
67,이태원역1번출구.해밀턴호텔(03190)
68,용산구청.이태원시장(03188)
69,녹사평역(03186)
70,전쟁기념관(03184)
71,용산꿈나무종합타운.보건분소(03181)
72,효창공원앞역.이봉창역사울림관(03179)
73,용마루고개(서울자동차고등학교)(03177)
74,용마루고개.신공덕삼성아파트(14151)
75,공덕오거리(14149)
76,공덕역2번출구(14179)
77,동도중학교.서울디자인고등학교(14177)
78,대흥역(14175)
79,광성중고등학교(14173)
80,서강대학교(14170)
81,신촌로터리(14169)
82,신촌오거리.현대백화점(13021)
83,동교동삼거리(13019)
84,홍대입구역(14016)
85,서교동(14014)
86,합정역(14219)
87,메세나폴리스(14244)
88,성산초등학교입구(14247)
89,기업은행서교동지점(최규하대통령가옥)(14248)
90,망원시장.망원동월드컵시장입구(14251)
91,마포구청역입구(14252)
92,마포구청.성산자동차검사소(14101)
93,월드컵경기장남측.월드컵공원(14104)
94,상암휴먼시아아파트(14164)
95,상암초등학교(14167)
96,상암DMC홍보관.YTN(14286)
97,누리꿈스퀘어.MBC(14307)
98,월드컵파크5단지.상암중고등학교입구(14288)
99,상암DMC입구(14290)
100,DMC첨단산업센터(14111)
101,덕은교.은평차고지앞(12314)
102,은평권역공영차고지(12409)
